Código ,Descripción ,Rule,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
868,"ANESTHESIA FOR EXTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN, INCLUDING URINARY TRACT; RENAL TRANSPLANT (RECIPIENT)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870,"ANESTHESIA FOR EXTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN, INCLUDING URINARY TRACT; CYSTOLITHOTOMY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
872,"ANESTHESIA FOR LITHOTRIPSY, EXTRACORPOREAL SHOCK WAVE; WITH WATER BATH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
873,"ANESTHESIA FOR LITHOTRIPSY, EXTRACORPOREAL SHOCK WAVE; WITHOUT WATER BATH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
880,ANESTHESIA FOR PROCEDURES ON MAJOR LOWER ABDOMINAL VESSELS; NOT OTHERWISE SPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
882,ANESTHESIA FOR PROCEDURES ON MAJOR LOWER ABDOMINAL VESSELS; INFERIOR VENA CAVA LIGATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
902,ANESTHESIA FOR; ANORECTAL PROCEDURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
904,ANESTHESIA FOR; RADICAL PERINEAL PROCEDURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
906,ANESTHESIA FOR; VULVECTOMY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
908,ANESTHESIA FOR; PERINEAL PROSTATECTOMY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
910,ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY); NOT OTHERWISE SPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
912,ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY); TRANSURETHRAL RESECTION OF BLADDER TUMOR(S),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY); TRANSURETHRAL RESECTION OF PROSTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
916,ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY); POST-TRANSURETHRAL RESECTION BLEEDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
918,"ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY); WITH FRAGMENTATION, MANIPULATION AND/OR REMOVAL OF URETERAL CALCULUS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
920,ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES); NOT OTHERWISE SPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
921,"ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES); VASECTOMY, UNILATERAL OR BILATERAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922,ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES); SEMINAL VESICLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
924,"ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES); UNDESCENDED TESTIS, UNILATERAL OR BILATERAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
926,"ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES); RADICAL ORCHIECTOMY, INGUINAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
928,"ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES); RADICAL ORCHIECTOMY, ABDOMINAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930,"ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES); ORCHIOPEXY, UNILATERAL OR BILATERAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
932,ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES); COMPLETE AMPUTATION OF PENIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
934,ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES); RADICAL AMPUTATION OF PENIS WITH BILATERAL INGUINAL LYMPHADENECTOMY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
936,ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES); RADICAL AMPUTATION OF PENIS WITH BILATERAL INGUINAL AND ILIAC LYMPHADENECTOMY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
938,ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES); INSERTION OF PENILE PROSTHESIS (PERINEAL APPROACH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940,"ANESTHESIA FOR VAGINAL PROCEDURES (INCLUDING BIOPSY OF LABIA, VAGINA, CERVIX OR ENDOMETRIUM); NOT OTHERWISE SPECIFIED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
942,"ANESTHESIA FOR VAGINAL PROCEDURES (INCLUDING BIOPSY OF LABIA, VAGINA, CERVIX OR ENDOMETRIUM); COLPOTOMY, VAGINECTOMY, COLPORRHAPHY, AND OPEN URETHRAL PROCEDURES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
944,"ANESTHESIA FOR VAGINAL PROCEDURES (INCLUDING BIOPSY OF LABIA, VAGINA, CERVIX OR ENDOMETRIUM); VAGINAL HYSTERECTOMY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
948,"ANESTHESIA FOR VAGINAL PROCEDURES (INCLUDING BIOPSY OF LABIA, VAGINA, CERVIX OR ENDOMETRIUM); CERVICAL CERCLAGE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950,"ANESTHESIA FOR VAGINAL PROCEDURES (INCLUDING BIOPSY OF LABIA, VAGINA, CERVIX OR ENDOMETRIUM); CULDOSCOPY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952,"ANESTHESIA FOR VAGINAL PROCEDURES (INCLUDING BIOPSY OF LABIA, VAGINA, CERVIX OR ENDOMETRIUM); HYSTEROSCOPY AND/OR HYSTEROSALPINGOGRAPHY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112,"ANESTHESIA FOR BONE MARROW ASPIRATION AND/OR BIOPSY, ANTERIOR OR POSTERIOR ILIAC CREST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,ANESTHESIA FOR PROCEDURES ON BONY PELVIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1130,ANESTHESIA FOR BODY CAST APPLICATION OR REVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140,ANESTHESIA FOR INTERPELVIABDOMINAL (HINDQUARTER) AMPUTATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1150,"ANESTHESIA FOR RADICAL PROCEDURES FOR TUMOR OF PELVIS, EXCEPT HINDQUARTER AMPUTATION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1160,ANESTHESIA FOR CLOSED PROCEDURES INVOLVING SYMPHYSIS PUBIS OR SACROILIAC JOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1170,ANESTHESIA FOR OPEN PROCEDURES INVOLVING SYMPHYSIS PUBIS OR SACROILIAC JOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1173,ANESTHESIA FOR OPEN REPAIR OF FRACTURE DISRUPTION OF PELVIS OR COLUMN FRACTURE INVOLVING ACETABULUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,ANESTHESIA FOR ALL CLOSED PROCEDURES INVOLVING HIP JOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1202,ANESTHESIA FOR ARTHROSCOPIC PROCEDURES OF HIP JOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210,ANESTHESIA FOR OPEN PROCEDURES INVOLVING HIP JOINT; NOT OTHERWISE SPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1212,ANESTHESIA FOR OPEN PROCEDURES INVOLVING HIP JOINT; HIP DISARTICULATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1214,ANESTHESIA FOR OPEN PROCEDURES INVOLVING HIP JOINT; TOTAL HIP ARTHROPLASTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,ANESTHESIA FOR OPEN PROCEDURES INVOLVING HIP JOINT; REVISION OF TOTAL HIP ARTHROPLASTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220,ANESTHESIA FOR ALL CLOSED PROCEDURES INVOLVING UPPER TWO-THIRDS OF FEMUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230,ANESTHESIA FOR OPEN PROCEDURES INVOLVING UPPER TWO-THIRDS OF FEMUR; NOT OTHERWISE SPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1232,ANESTHESIA FOR OPEN PROCEDURES INVOLVING UPPER TWO-THIRDS OF FEMUR; AMPUTATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1234,ANESTHESIA FOR OPEN PROCEDURES INVOLVING UPPER TWO-THIRDS OF FEMUR; RADICAL RESECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1250,"ANESTHESIA FOR ALL PROCEDURES ON NERVES, MUSCLES, TENDONS, FASCIA, AND BURSAE OF UPPER LEG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1260,"ANESTHESIA FOR ALL PROCEDURES INVOLVING VEINS OF UPPER LEG, INCLUDING EXPLORATION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1270,"ANESTHESIA FOR PROCEDURES INVOLVING ARTERIES OF UPPER LEG, INCLUDING BYPASS GRAFT; NOT OTHERWISE SPECIFIED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1272,"ANESTHESIA FOR PROCEDURES INVOLVING ARTERIES OF UPPER LEG, INCLUDING BYPASS GRAFT; FEMORAL ARTERY LIGATION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1274,"ANESTHESIA FOR PROCEDURES INVOLVING ARTERIES OF UPPER LEG, INCLUDING BYPASS GRAFT; FEMORAL ARTERY EMBOLECTOMY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1320,"ANESTHESIA FOR ALL PROCEDURES ON NERVES, MUSCLES, TENDONS, FASCIA, AND BURSAE OF KNEE AND/OR POPLITEAL AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1340,ANESTHESIA FOR ALL CLOSED PROCEDURES ON LOWER ONE-THIRD OF FEMUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1360,ANESTHESIA FOR ALL OPEN PROCEDURES ON LOWER ONE-THIRD OF FEMUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1380,ANESTHESIA FOR ALL CLOSED PROCEDURES ON KNEE JOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1382,ANESTHESIA FOR DIAGNOSTIC ARTHROSCOPIC PROCEDURES OF KNEE JOINT,19,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
1390,"ANESTHESIA FOR ALL CLOSED PROCEDURES ON UPPER ENDS OF TIBIA, FIBULA, AND/OR PATELLA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1392,"ANESTHESIA FOR ALL OPEN PROCEDURES ON UPPER ENDS OF TIBIA, FIBULA, AND/OR PATELLA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400,ANESTHESIA FOR OPEN OR SURGICAL ARTHROSCOPIC PROCEDURES ON KNEE JOINT; NOT OTHERWISE SPECIFIED,19,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
1402,ANESTHESIA FOR OPEN OR SURGICAL ARTHROSCOPIC PROCEDURES ON KNEE JOINT; TOTAL KNEE ARTHROPLASTY,19,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
1404,ANESTHESIA FOR OPEN OR SURGICAL ARTHROSCOPIC PROCEDURES ON KNEE JOINT; DISARTICULATION AT KNEE,19,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
1420,"ANESTHESIA FOR ALL CAST APPLICATIONS, REMOVAL, OR REPAIR INVOLVING KNEE JOINT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1430,ANESTHESIA FOR PROCEDURES ON VEINS OF KNEE AND POPLITEAL AREA; NOT OTHERWISE SPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1432,ANESTHESIA FOR PROCEDURES ON VEINS OF KNEE AND POPLITEAL AREA; ARTERIOVENOUS FISTULA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1440,ANESTHESIA FOR PROCEDURES ON ARTERIES OF KNEE AND POPLITEAL AREA; NOT OTHERWISE SPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1442,"ANESTHESIA FOR PROCEDURES ON ARTERIES OF KNEE AND POPLITEAL AREA; POPLITEAL THROMBOENDARTERECTOMY, WITH OR WITHOUT PATCH GRAFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1444,ANESTHESIA FOR PROCEDURES ON ARTERIES OF KNEE AND POPLITEAL AREA; POPLITEAL EXCISION AND GRAFT OR REPAIR FOR OCCLUSION OR ANEURYSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1462,"ANESTHESIA FOR ALL CLOSED PROCEDURES ON LOWER LEG, ANKLE, AND FOOT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1464,ANESTHESIA FOR ARTHROSCOPIC PROCEDURES OF ANKLE AND/OR FOOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470,"ANESTHESIA FOR PROCEDURES ON NERVES, MUSCLES, TENDONS, AND FASCIA OF LOWER LEG, ANKLE, AND FOOT; NOT OTHERWISE SPECIFIED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1472,"ANESTHESIA FOR PROCEDURES ON NERVES, MUSCLES, TENDONS, AND FASCIA OF LOWER LEG, ANKLE, AND FOOT; REPAIR OF RUPTURED ACHILLES TENDON, WITH OR WITHOUT GRAFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1474,"ANESTHESIA FOR PROCEDURES ON NERVES, MUSCLES, TENDONS, AND FASCIA OF LOWER LEG, ANKLE, AND FOOT; GASTROCNEMIUS RECESSION (EG, STRAYER PROCEDURE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1480,"ANESTHESIA FOR OPEN PROCEDURES ON BONES OF LOWER LEG, ANKLE, AND FOOT; NOT OTHERWISE SPECIFIED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1482,"ANESTHESIA FOR OPEN PROCEDURES ON BONES OF LOWER LEG, ANKLE, AND FOOT; RADICAL RESECTION (INCLUDING BELOW KNEE AMPUTATION)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1484,"ANESTHESIA FOR OPEN PROCEDURES ON BONES OF LOWER LEG, ANKLE, AND FOOT; OSTEOTOMY OR OSTEOPLASTY OF TIBIA AND/OR FIBULA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1486,"ANESTHESIA FOR OPEN PROCEDURES ON BONES OF LOWER LEG, ANKLE, AND FOOT; TOTAL ANKLE REPLACEMENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1490,"ANESTHESIA FOR LOWER LEG CAST APPLICATION, REMOVAL, OR REPAIR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,"ANESTHESIA FOR PROCEDURES ON ARTERIES OF LOWER LEG, INCLUDING BYPASS GRAFT; NOT OTHERWISE SPECIFIED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1502,"ANESTHESIA FOR PROCEDURES ON ARTERIES OF LOWER LEG, INCLUDING BYPASS GRAFT; EMBOLECTOMY, DIRECT OR WITH CATHETER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1520,ANESTHESIA FOR PROCEDURES ON VEINS OF LOWER LEG; NOT OTHERWISE SPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1522,"ANESTHESIA FOR PROCEDURES ON VEINS OF LOWER LEG; VENOUS THROMBECTOMY, DIRECT OR WITH CATHETER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610,"ANESTHESIA FOR ALL PROCEDURES ON NERVES, MUSCLES, TENDONS, FASCIA, AND BURSAE OF SHOULDER AND AXILLA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1620,"ANESTHESIA FOR ALL CLOSED PROCEDURES ON HUMERAL HEAD AND NECK, STERNOCLAVICULAR JOINT, ACROMIOCLAVICULAR JOINT, AND SHOULDER JOINT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1622,ANESTHESIA FOR DIAGNOSTIC ARTHROSCOPIC PROCEDURES OF SHOULDER JOINT,19,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
1630,"ANESTHESIA FOR OPEN OR SURGICAL ARTHROSCOPIC PROCEDURES ON HUMERAL HEAD AND NECK, STERNOCLAVICULAR JOINT, ACROMIOCLAVICULAR JOINT, AND SHOULDER JOINT; NOT OTHERWISE SPECIFIED",19,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
1634,"ANESTHESIA FOR OPEN OR SURGICAL ARTHROSCOPIC PROCEDURES ON HUMERAL HEAD AND NECK, STERNOCLAVICULAR JOINT, ACROMIOCLAVICULAR JOINT, AND SHOULDER JOINT; SHOULDER DISARTICULATION",19,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
1636,"ANESTHESIA FOR OPEN OR SURGICAL ARTHROSCOPIC PROCEDURES ON HUMERAL HEAD AND NECK, STERNOCLAVICULAR JOINT, ACROMIOCLAVICULAR JOINT, AND SHOULDER JOINT; INTERTHORACOSCAPULAR (FOREQUARTER) AMPUTATION",19,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
1638,"ANESTHESIA FOR OPEN OR SURGICAL ARTHROSCOPIC PROCEDURES ON HUMERAL HEAD AND NECK, STERNOCLAVICULAR JOINT, ACROMIOCLAVICULAR JOINT, AND SHOULDER JOINT; TOTAL SHOULDER REPLACEMENT",19,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
1650,ANESTHESIA FOR PROCEDURES ON ARTERIES OF SHOULDER AND AXILLA; NOT OTHERWISE SPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1652,ANESTHESIA FOR PROCEDURES ON ARTERIES OF SHOULDER AND AXILLA; AXILLARY-BRACHIAL ANEURYSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1654,ANESTHESIA FOR PROCEDURES ON ARTERIES OF SHOULDER AND AXILLA; BYPASS GRAFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1656,ANESTHESIA FOR PROCEDURES ON ARTERIES OF SHOULDER AND AXILLA; AXILLARY-FEMORAL BYPASS GRAFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1670,ANESTHESIA FOR ALL PROCEDURES ON VEINS OF SHOULDER AND AXILLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680,"ANESTHESIA FOR SHOULDER CAST APPLICATION, REMOVAL OR REPAIR, NOT OTHERWISE SPECIFIED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1710,"ANESTHESIA FOR PROCEDURES ON NERVES, MUSCLES, TENDONS, FASCIA, AND BURSAE OF UPPER ARM AND ELBOW; NOT OTHERWISE SPECIFIED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1712,"ANESTHESIA FOR PROCEDURES ON NERVES, MUSCLES, TENDONS, FASCIA, AND BURSAE OF UPPER ARM AND ELBOW; TENOTOMY, ELBOW TO SHOULDER, OPEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1714,"ANESTHESIA FOR PROCEDURES ON NERVES, MUSCLES, TENDONS, FASCIA, AND BURSAE OF UPPER ARM AND ELBOW; TENOPLASTY, ELBOW TO SHOULDER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1716,"ANESTHESIA FOR PROCEDURES ON NERVES, MUSCLES, TENDONS, FASCIA, AND BURSAE OF UPPER ARM AND ELBOW; TENODESIS, RUPTURE OF LONG TENDON OF BICEPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1730,ANESTHESIA FOR ALL CLOSED PROCEDURES ON HUMERUS AND ELBOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732,ANESTHESIA FOR DIAGNOSTIC ARTHROSCOPIC PROCEDURES OF ELBOW JOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1740,ANESTHESIA FOR OPEN OR SURGICAL ARTHROSCOPIC PROCEDURES OF THE ELBOW; NOT OTHERWISE SPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1742,ANESTHESIA FOR OPEN OR SURGICAL ARTHROSCOPIC PROCEDURES OF THE ELBOW; OSTEOTOMY OF HUMERUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1744,ANESTHESIA FOR OPEN OR SURGICAL ARTHROSCOPIC PROCEDURES OF THE ELBOW; REPAIR OF NONUNION OR MALUNION OF HUMERUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1756,ANESTHESIA FOR OPEN OR SURGICAL ARTHROSCOPIC PROCEDURES OF THE ELBOW; RADICAL PROCEDURES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1758,ANESTHESIA FOR OPEN OR SURGICAL ARTHROSCOPIC PROCEDURES OF THE ELBOW; EXCISION OF CYST OR TUMOR OF HUMERUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1760,ANESTHESIA FOR OPEN OR SURGICAL ARTHROSCOPIC PROCEDURES OF THE ELBOW; TOTAL ELBOW REPLACEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1770,ANESTHESIA FOR PROCEDURES ON ARTERIES OF UPPER ARM AND ELBOW; NOT OTHERWISE SPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1772,ANESTHESIA FOR PROCEDURES ON ARTERIES OF UPPER ARM AND ELBOW; EMBOLECTOMY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1780,ANESTHESIA FOR PROCEDURES ON VEINS OF UPPER ARM AND ELBOW; NOT OTHERWISE SPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1782,ANESTHESIA FOR PROCEDURES ON VEINS OF UPPER ARM AND ELBOW; PHLEBORRHAPHY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1810,"ANESTHESIA FOR ALL PROCEDURES ON NERVES, MUSCLES, TENDONS, FASCIA, AND BURSAE OF FOREARM, WRIST, AND HAND",19,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
1820,"ANESTHESIA FOR ALL CLOSED PROCEDURES ON RADIUS, ULNA, WRIST, OR HAND BONES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829,ANESTHESIA FOR DIAGNOSTIC ARTHROSCOPIC PROCEDURES ON THE WRIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830,"ANESTHESIA FOR OPEN OR SURGICAL ARTHROSCOPIC/ENDOSCOPIC PROCEDURES ON DISTAL RADIUS, DISTAL ULNA, WRIST, OR HAND JOINTS; NOT OTHERWISE SPECIFIED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
